Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed3pm,Humidity3pm,Pressure3pm,Cloud3pm,Temp3pm,RainToday,RainTomorrow
12-Jul,Sydney,8.7,14.9,4.0,2.6,4.5,44.0,24.0,72.0,1030.1,7.0,13.6,Yes,Yes
12-Jul,Sydney,9.6,16.0,19.0,1.8,5.8,44.0,22.0,52.0,1031.4,2.0,15.3,Yes,Yes
12-Jul,Sydney,8.7,15.1,1.2,2.4,0.7,31.0,11.0,71.0,1030.5,7.0,13.9,Yes,No
12-Jul,Sydney,9.1,18.0,0.2,0.8,8.1,26.0,11.0,57.0,1028.2,2.0,16.6,No,No
12-Jul,Sydney,8.3,17.0,0.0,1.2,9.6,24.0,13.0,67.0,1026.6,5.0,16.7,No,No
12-Jul,Sydney,8.4,18.0,0.0,1.8,2.4,44.0,22.0,67.0,1021.1,7.0,17.6,No,Yes
12-Jul,Sydney,10.2,20.6,5.4,3.4,8.6,31.0,15.0,44.0,1017.6,5.0,20.1,Yes,No
12-Jul,Sydney,11.6,17.3,0.0,3.0,0.2,31.0,9.0,79.0,1012.7,8.0,17.1,No,No
12-Jul,Sydney,12.9,22.9,0.2,0.4,6.3,39.0,26.0,62.0,1008.0,6.0,21.3,No,No
12-Jul,Sydney,11.1,20.2,0.0,3.2,9.5,39.0,19.0,31.0,1009.7,1.0,19.1,No,No
12-Jul,Sydney,9.0,18.2,0.0,5.0,10.0,46.0,17.0,33.0,1016.9,1.0,17.8,No,No
12-Jul,Sydney,9.4,20.3,0.0,2.6,9.9,43.0,11.0,36.0,1025.4,0.0,18.3,No,No
12-Jul,Sydney,8.1,21.0,0.0,3.6,9.7,35.0,17.0,34.0,1021.5,0.0,20.4,No,No
12-Jul,Sydney,9.3,20.7,0.0,3.2,7.9,31.0,13.0,33.0,1015.8,2.0,20.2,No,No
12-Jul,Sydney,8.7,15.4,0.0,3.6,5.4,50.0,31.0,50.0,1020.3,5.0,14.6,No,No
12-Jul,Sydney,5.8,17.3,0.0,2.8,9.8,35.0,19.0,38.0,1024.7,1.0,16.6,No,Yes
12-Jul,Sydney,8.1,14.9,5.0,2.0,1.4,52.0,22.0,54.0,1028.5,7.0,14.8,Yes,Yes
12-Jul,Sydney,9.7,16.9,2.6,3.6,6.8,48.0,20.0,62.0,1027.6,6.0,16.2,Yes,Yes
12-Jul,Sydney,10.4,14.0,6.8,2.4,0.6,26.0,11.0,85.0,1025.6,7.0,13.6,Yes,Yes
12-Jul,Sydney,8.7,19.6,4.4,0.2,6.5,30.0,20.0,50.0,1019.3,2.0,18.0,Yes,No
12-Jul,Sydney,10.0,19.5,0.0,3.8,3.9,31.0,7.0,48.0,1011.3,7.0,17.8,No,No
12-Jul,Sydney,8.7,17.4,0.4,2.4,10.0,41.0,20.0,32.0,1009.8,3.0,17.0,No,No
12-Jul,Sydney,7.8,19.4,0.0,4.0,9.7,44.0,11.0,45.0,1015.7,4.0,16.7,No,No
12-Jul,Sydney,8.4,16.2,0.0,1.6,7.1,39.0,20.0,45.0,1021.6,6.0,16.1,No,No
12-Jul,Sydney,7.3,15.9,0.0,4.0,10.0,54.0,28.0,36.0,1022.2,1.0,15.3,No,Yes
12-Jul,Sydney,7.5,16.1,4.4,3.0,6.3,44.0,24.0,52.0,1022.9,6.0,13.7,Yes,No
12-Aug,Sydney,7.0,16.2,0.0,2.4,8.3,43.0,22.0,38.0,1019.5,2.0,15.7,No,No
12-Aug,Sydney,6.5,17.4,0.0,4.2,9.6,44.0,9.0,37.0,1018.5,3.0,15.8,No,No
12-Aug,Sydney,6.8,18.5,0.0,3.6,7.7,31.0,11.0,32.0,1014.4,1.0,18.1,No,No
12-Aug,Sydney,7.2,20.8,0.0,2.4,10.2,35.0,6.0,27.0,1014.3,2.0,20.3,No,No
12-Aug,Sydney,9.3,21.6,0.0,1.6,7.7,44.0,15.0,27.0,1011.3,7.0,19.8,No,No
12-Aug,Sydney,11.6,19.4,0.0,7.2,10.2,46.0,17.0,22.0,1014.9,1.0,18.4,No,No
12-Aug,Sydney,6.8,18.6,0.0,3.2,10.2,33.0,6.0,25.0,1021.3,0.0,18.2,No,No
12-Aug,Sydney,5.6,22.5,0.0,3.6,10.6,30.0,9.0,26.0,1015.2,1.0,21.4,No,No
12-Aug,Sydney,9.5,19.8,0.0,3.4,6.6,63.0,31.0,18.0,1009.9,2.0,18.9,No,No
12-Aug,Sydney,7.6,14.9,0.0,5.0,3.8,93.0,26.0,76.0,1016.6,7.0,12.2,No,Yes
12-Aug,Sydney,10.2,22.2,0.0,4.6,6.0,30.0,11.0,35.0,1011.5,7.0,20.1,No,No
12-Aug,Sydney,11.7,20.6,0.0,2.0,9.2,35.0,19.0,43.0,1010.7,2.0,17.4,No,No
12-Aug,Sydney,11.1,22.2,0.0,5.8,8.3,76.0,37.0,35.0,1004.3,6.0,14.5,No,No
12-Aug,Sydney,9.6,18.1,0.0,6.6,10.4,61.0,33.0,33.0,1007.4,4.0,17.9,No,No
12-Aug,Sydney,9.7,20.1,0.0,6.0,10.0,37.0,17.0,43.0,1019.1,2.0,16.9,No,No
12-Aug,Sydney,7.5,17.8,0.0,3.2,10.7,24.0,17.0,47.0,1019.1,1.0,16.0,No,No
12-Aug,Sydney,8.7,22.2,0.0,2.6,9.2,31.0,19.0,36.0,1016.0,1.0,19.0,No,No
12-Aug,Sydney,16.1,29.2,0.0,6.4,6.9,91.0,41.0,25.0,1005.9,7.0,26.3,No,Yes
12-Aug,Sydney,12.4,19.3,10.2,7.8,11.0,67.0,33.0,23.0,1011.8,1.0,18.9,Yes,No
12-Aug,Sydney,10.7,20.7,0.0,6.4,10.7,41.0,6.0,26.0,1015.5,1.0,20.0,No,No
12-Aug,Sydney,8.3,20.9,0.0,4.4,10.0,33.0,15.0,41.0,1016.9,3.0,17.2,No,No
12-Aug,Sydney,12.0,22.1,0.0,5.0,9.5,54.0,30.0,18.0,1008.9,6.0,21.2,No,No
12-Aug,Sydney,9.7,18.4,0.0,6.2,7.6,59.0,24.0,24.0,1013.7,6.0,16.6,No,No
12-Sep,Sydney,5.5,17.6,0.4,5.0,9.6,61.0,31.0,38.0,1020.2,6.0,16.2,No,No
12-Sep,Sydney,7.2,20.7,0.8,3.8,11.2,31.0,19.0,45.0,1019.9,1.0,17.0,No,No
12-Sep,Sydney,7.5,22.8,0.0,3.4,10.8,28.0,15.0,37.0,1019.8,1.0,19.6,No,No
12-Sep,Sydney,9.7,24.4,0.2,4.0,9.9,28.0,17.0,33.0,1019.6,1.0,21.4,No,No
12-Sep,Sydney,11.1,28.3,0.0,5.2,10.6,57.0,31.0,13.0,1007.3,0.0,27.5,No,No
12-Sep,Sydney,18.4,27.9,0.0,13.4,10.7,54.0,22.0,10.0,1005.3,0.0,27.6,No,No
12-Sep,Sydney,16.4,21.7,0.0,10.8,8.7,72.0,39.0,22.0,1006.2,5.0,18.4,No,No
12-Sep,Sydney,11.3,21.0,0.0,6.6,10.8,59.0,28.0,31.0,1012.8,1.0,20.4,No,No
12-Sep,Sydney,12.6,21.8,0.0,5.4,8.7,39.0,17.0,51.0,1022.4,1.0,21.0,No,No
12-Sep,Sydney,11.0,21.3,0.0,3.8,10.2,43.0,20.0,67.0,1015.7,1.0,19.6,No,No
12-Sep,Sydney,14.0,24.7,0.0,5.6,2.7,63.0,33.0,83.0,1007.3,8.0,15.0,No,Yes
12-Sep,Sydney,7.9,18.5,3.8,3.0,11.3,37.0,17.0,36.0,1017.1,1.0,16.9,Yes,No
12-Sep,Sydney,9.2,20.1,0.0,5.2,10.7,37.0,19.0,44.0,1023.5,1.0,19.8,No,No
12-Sep,Sydney,10.5,21.0,0.0,3.2,10.3,41.0,24.0,54.0,1016.3,3.0,18.5,No,No
12-Sep,Sydney,14.2,20.9,0.0,5.4,6.0,39.0,26.0,61.0,1016.9,6.0,19.4,No,No
12-Sep,Sydney,12.4,20.6,0.0,3.6,7.7,37.0,20.0,66.0,1013.8,5.0,18.2,No,Yes
12-Sep,Sydney,11.1,22.9,3.6,3.8,11.1,35.0,17.0,45.0,1014.4,3.0,20.1,Yes,No
12-Sep,Sydney,12.1,20.5,0.2,6.0,9.4,30.0,22.0,60.0,1014.7,2.0,19.7,No,No
12-Sep,Sydney,13.8,22.2,0.0,4.4,4.6,37.0,13.0,46.0,1009.8,1.0,21.9,No,No
12-Sep,Sydney,12.4,22.7,0.8,4.8,10.9,33.0,17.0,50.0,1013.1,1.0,20.9,No,No
12-Sep,Sydney,11.2,23.8,0.0,4.4,11.1,39.0,17.0,46.0,1005.4,1.0,23.5,No,No
12-Sep,Sydney,13.5,24.4,0.0,8.2,11.2,48.0,17.0,29.0,1010.6,1.0,21.7,No,No
12-Sep,Sydney,12.0,19.1,0.2,3.2,3.8,33.0,26.0,63.0,1020.0,6.0,16.8,No,No
12-Sep,Sydney,14.6,20.7,0.4,4.2,8.3,44.0,33.0,59.0,1019.0,1.0,19.6,No,No
12-Sep,Sydney,14.1,22.8,0.2,6.8,6.7,46.0,19.0,59.0,1013.5,5.0,21.0,No,No
12-Sep,Sydney,18.9,33.2,0.0,6.4,6.0,65.0,22.0,29.0,1003.5,7.0,31.2,No,Yes
12-Sep,Sydney,9.9,22.4,0.0,8.4,11.5,48.0,26.0,30.0,1018.0,1.0,20.3,No,No
12-Oct,Sydney,9.8,19.9,0.0,6.8,9.8,30.0,20.0,53.0,1025.5,1.0,18.0,No,No
12-Oct,Sydney,12.7,20.3,0.6,5.0,10.6,26.0,17.0,45.0,1029.2,1.0,18.5,No,No
12-Oct,Sydney,11.2,27.8,0.2,5.8,11.3,31.0,7.0,40.0,1020.5,7.0,24.0,No,No
12-Oct,Sydney,14.5,32.2,0.0,7.2,11.4,37.0,11.0,16.0,1013.1,0.0,31.9,No,No
12-Oct,Sydney,20.0,34.2,0.0,10.8,10.3,57.0,28.0,59.0,1013.0,5.0,22.8,No,No
12-Oct,Sydney,15.6,18.3,0.0,7.6,0.0,48.0,11.0,81.0,1014.6,7.0,17.2,No,Yes
12-Oct,Sydney,12.7,20.6,3.0,3.2,11.2,57.0,28.0,32.0,1013.7,1.0,19.3,Yes,No
12-Oct,Sydney,13.6,18.2,0.2,7.8,5.9,35.0,19.0,46.0,1013.4,6.0,17.5,No,No
12-Oct,Sydney,12.1,19.6,0.0,3.8,9.0,33.0,19.0,52.0,1011.1,6.0,17.1,No,No
12-Oct,Sydney,13.5,19.0,9.8,6.8,3.6,50.0,9.0,58.0,1004.1,7.0,18.2,Yes,Yes
12-Oct,Sydney,8.5,16.0,3.4,2.0,4.3,74.0,22.0,87.0,1010.7,7.0,12.2,Yes,Yes
12-Oct,Sydney,8.6,20.1,4.4,4.0,11.0,35.0,20.0,39.0,1019.3,1.0,18.9,Yes,No
12-Oct,Sydney,12.4,19.5,0.2,4.8,8.8,28.0,20.0,52.0,1024.0,1.0,18.5,No,No
12-Oct,Sydney,11.4,23.9,0.0,6.4,11.6,46.0,19.0,41.0,1020.9,2.0,23.2,No,No
12-Oct,Sydney,15.4,34.1,0.0,7.2,9.6,43.0,22.0,23.0,1013.9,2.0,30.7,No,No
12-Oct,Sydney,20.3,21.8,0.0,11.4,11.7,39.0,24.0,46.0,1016.4,6.0,20.8,No,No
12-Oct,Sydney,16.6,21.5,0.0,7.4,8.2,41.0,22.0,56.0,1019.6,1.0,20.4,No,No
12-Oct,Sydney,15.9,25.6,0.0,6.6,9.8,31.0,19.0,56.0,1011.6,4.0,24.1,No,No
12-Oct,Sydney,16.6,33.8,0.0,6.8,11.8,56.0,33.0,57.0,1008.5,2.0,24.6,No,No
12-Oct,Sydney,14.9,27.4,0.0,5.0,5.0,46.0,20.0,23.0,1009.5,7.0,26.9,No,No
12-Oct,Sydney,15.1,18.7,0.0,6.0,6.6,80.0,39.0,40.0,1019.7,2.0,18.0,No,Yes
12-Oct,Sydney,11.8,19.5,7.4,2.0,10.1,41.0,20.0,41.0,1026.5,3.0,18.3,Yes,No
12-Oct,Sydney,11.7,23.0,0.2,6.0,11.6,46.0,24.0,48.0,1017.7,2.0,21.0,No,No
12-Oct,Sydney,13.8,25.6,0.0,8.2,10.5,30.0,19.0,46.0,1006.6,6.0,24.8,No,No
12-Oct,Sydney,16.9,21.2,0.0,9.0,3.3,56.0,19.0,66.0,1007.3,7.0,20.0,No,No
12-Oct,Sydney,13.1,21.3,0.0,5.4,12.2,41.0,24.0,40.0,1016.4,1.0,19.1,No,No
12-Oct,Sydney,15.3,19.8,0.0,9.2,5.3,30.0,15.0,47.0,1024.3,8.0,19.1,No,No
12-Oct,Sydney,12.1,21.7,0.0,3.6,9.4,44.0,30.0,55.0,1021.2,2.0,20.8,No,No
12-Oct,Sydney,14.1,23.1,0.0,7.2,9.8,43.0,24.0,48.0,1015.7,6.0,22.4,No,No
12-Oct,Sydney,15.7,27.8,0.0,7.0,12.0,33.0,20.0,52.0,1013.0,3.0,24.4,No,No
12-Nov,Sydney,16.8,33.3,0.0,8.0,5.2,52.0,20.0,57.0,1002.0,7.0,24.7,No,No
12-Nov,Sydney,16.1,21.9,0.0,10.8,12.2,54.0,26.0,38.0,1015.5,1.0,20.3,No,Yes
12-Nov,Sydney,13.7,18.5,1.6,5.6,0.0,31.0,17.0,58.0,1020.1,8.0,17.8,Yes,Yes
12-Nov,Sydney,14.8,22.9,1.4,2.6,9.3,41.0,26.0,63.0,1017.5,4.0,21.9,Yes,No
12-Nov,Sydney,17.0,25.1,0.2,5.2,10.0,52.0,20.0,61.0,1014.9,4.0,24.3,No,No
12-Nov,Sydney,19.6,25.4,0.0,9.0,8.9,57.0,30.0,61.0,1012.7,4.0,23.9,No,No
12-Nov,Sydney,19.8,24.2,0.0,8.6,0.0,35.0,19.0,68.0,1010.3,8.0,22.4,No,No
12-Nov,Sydney,19.9,27.3,0.0,3.8,8.4,35.0,20.0,64.0,1011.7,7.0,23.4,No,Yes
12-Nov,Sydney,18.5,27.1,9.2,4.2,9.8,50.0,17.0,86.0,1012.6,5.0,20.9,Yes,Yes
12-Nov,Sydney,16.6,20.9,11.4,7.4,7.0,50.0,26.0,54.0,1023.1,6.0,18.5,Yes,No
12-Nov,Sydney,13.1,21.4,0.2,9.6,12.7,31.0,19.0,45.0,1026.6,2.0,20.8,No,No
12-Nov,Sydney,13.0,23.7,0.0,6.0,11.3,54.0,31.0,51.0,1019.7,7.0,22.0,No,No
12-Nov,Sydney,16.9,23.9,0.0,9.8,9.9,57.0,28.0,51.0,1019.0,3.0,21.0,No,No
12-Nov,Sydney,15.9,20.7,0.0,8.0,0.3,31.0,20.0,71.0,1017.4,8.0,18.4,No,No
12-Nov,Sydney,16.2,24.7,0.2,4.2,7.2,35.0,17.0,62.0,1010.7,7.0,23.6,No,No
12-Nov,Sydney,17.2,18.0,0.4,5.0,0.0,41.0,9.0,81.0,1011.0,8.0,17.5,No,Yes
12-Nov,Sydney,15.1,21.3,10.4,2.4,7.0,33.0,15.0,50.0,1015.1,4.0,19.8,Yes,No
12-Nov,Sydney,15.3,23.1,0.0,6.0,12.2,70.0,35.0,57.0,1007.7,3.0,22.2,No,No
12-Nov,Sydney,12.8,21.1,0.0,8.4,6.9,50.0,26.0,45.0,1015.6,3.0,19.9,No,Yes
12-Nov,Sydney,15.8,23.2,1.6,7.0,7.6,44.0,22.0,50.0,1021.6,3.0,21.8,Yes,No
12-Nov,Sydney,13.4,24.5,0.4,5.2,10.6,50.0,24.0,59.0,1012.2,6.0,22.3,No,No
12-Nov,Sydney,17.1,20.7,0.0,9.0,0.3,72.0,22.0,59.0,1017.0,7.0,19.4,No,No
12-Nov,Sydney,15.7,22.0,0.0,5.4,5.2,30.0,17.0,55.0,1018.5,7.0,20.5,No,No
12-Nov,Sydney,16.4,25.4,0.0,5.2,10.8,39.0,28.0,63.0,1014.8,1.0,23.8,No,No
12-Nov,Sydney,18.5,31.0,0.0,7.8,12.7,26.0,15.0,56.0,1012.6,2.0,27.2,No,No
12-Nov,Sydney,20.7,27.2,0.0,9.4,2.9,41.0,20.0,69.0,1012.3,7.0,24.1,No,Yes
12-Nov,Sydney,19.8,24.1,3.6,4.4,1.0,44.0,13.0,74.0,1014.7,7.0,22.4,Yes,Yes
12-Nov,Sydney,18.4,24.5,10.2,3.2,0.0,26.0,13.0,74.0,1016.5,7.0,21.9,Yes,Yes
12-Nov,Sydney,19.9,27.0,1.2,2.4,8.3,43.0,20.0,63.0,1013.6,2.0,26.2,Yes,No
13-Jan,Sydney,20.2,26.2,0.0,11.0,10.9,30.0,19.0,68.0,1008.6,3.0,24.1,No,No
13-Jan,Sydney,20.3,22.9,0.0,7.4,0.9,52.0,24.0,61.0,1015.1,7.0,21.1,No,No
13-Jan,Sydney,18.4,24.8,0.0,5.6,12.4,30.0,19.0,54.0,1016.6,1.0,23.5,No,No
13-Jan,Sydney,18.3,26.6,0.0,9.0,13.1,52.0,26.0,60.0,1014.1,0.0,24.8,No,No
13-Jan,Sydney,20.9,28.3,0.0,9.6,12.7,52.0,17.0,56.0,1014.3,1.0,27.2,No,No
13-Jan,Sydney,21.6,28.0,0.0,11.6,13.1,33.0,20.0,56.0,1019.7,1.0,27.0,No,No
13-Jan,Sydney,21.4,27.5,0.0,8.0,9.0,46.0,20.0,65.0,1018.4,1.0,25.9,No,No
13-Jan,Sydney,20.9,42.3,0.0,9.8,8.7,69.0,28.0,14.0,999.1,6.0,39.8,No,No
13-Jan,Sydney,21.1,25.0,0.0,18.4,6.1,50.0,28.0,44.0,1002.1,6.0,21.7,No,No
13-Jan,Sydney,20.2,25.4,0.0,8.4,1.4,37.0,24.0,54.0,1009.6,7.0,24.3,No,No
13-Jan,Sydney,21.2,29.6,0.0,6.2,10.0,43.0,15.0,59.0,1005.5,5.0,27.3,No,No
13-Jan,Sydney,23.5,31.2,0.0,9.6,1.5,56.0,26.0,50.0,1006.7,7.0,28.1,No,No
13-Jan,Sydney,20.7,23.8,0.0,6.2,0.0,56.0,19.0,77.0,1008.5,7.0,22.2,No,Yes
13-Jan,Sydney,17.1,23.7,8.6,2.0,9.4,59.0,28.0,49.0,1017.5,2.0,22.2,Yes,No
13-Jan,Sydney,16.8,24.9,0.2,9.8,10.8,41.0,17.0,53.0,1016.7,3.0,23.1,No,No
13-Jan,Sydney,19.1,27.2,0.0,6.6,11.4,31.0,24.0,65.0,1011.8,4.0,24.9,No,No
13-Jan,Sydney,21.4,29.0,0.0,8.2,12.1,41.0,26.0,67.0,1007.9,1.0,26.5,No,No
13-Jan,Sydney,21.7,45.8,0.0,9.0,8.4,78.0,15.0,14.0,997.9,3.0,44.7,No,No
13-Jan,Sydney,21.5,24.8,0.0,12.6,2.3,50.0,20.0,59.0,1013.8,8.0,22.4,No,No
13-Jan,Sydney,20.2,24.3,0.2,5.0,0.0,28.0,15.0,59.0,1016.1,8.0,23.6,No,No
13-Jan,Sydney,20.7,26.6,0.2,4.2,5.3,37.0,17.0,52.0,1013.4,7.0,25.5,No,No
13-Jan,Sydney,20.9,29.6,0.0,7.4,7.3,52.0,17.0,63.0,1007.4,7.0,26.5,No,No
13-Jan,Sydney,20.7,25.7,0.0,6.2,2.3,56.0,26.0,61.0,1015.3,7.0,24.4,No,No
13-Jan,Sydney,20.4,29.8,0.0,7.2,10.5,33.0,20.0,52.0,1015.3,2.0,29.3,No,No
13-Jan,Sydney,21.6,29.2,0.0,4.6,12.8,44.0,26.0,64.0,1010.5,1.0,27.6,No,No
13-Jan,Sydney,23.7,28.2,0.0,11.4,8.3,57.0,30.0,70.0,1011.1,6.0,27.0,No,Yes
13-Jan,Sydney,20.1,22.7,16.8,8.2,0.0,50.0,9.0,90.0,1009.0,8.0,20.9,Yes,Yes
13-Jan,Sydney,20.5,23.0,15.8,2.2,0.0,69.0,24.0,92.0,1008.1,8.0,21.6,Yes,Yes
13-Jan,Sydney,19.8,26.0,0.8,5.6,8.5,28.0,20.0,58.0,1014.0,2.0,24.9,No,No
13-Jan,Sydney,21.0,27.8,0.0,5.6,12.2,54.0,24.0,64.0,1008.4,1.0,27.2,No,Yes
13-Mar,Sydney,16.5,20.1,31.8,6.8,0.0,63.0,26.0,85.0,1016.2,8.0,18.7,Yes,Yes
13-Mar,Sydney,17.9,23.1,15.2,6.2,0.1,57.0,31.0,78.0,1020.8,8.0,20.1,Yes,Yes
13-Mar,Sydney,17.7,25.5,7.4,4.8,6.8,56.0,30.0,56.0,1020.4,6.0,24.8,Yes,Yes
13-Mar,Sydney,19.5,26.1,4.4,6.6,9.6,39.0,22.0,49.0,1020.9,3.0,25.1,Yes,No
13-Mar,Sydney,20.5,26.8,0.2,6.0,9.1,35.0,28.0,48.0,1020.0,3.0,25.8,No,No
13-Mar,Sydney,20.2,27.3,0.0,7.4,7.6,39.0,24.0,55.0,1018.4,3.0,25.6,No,No
13-Mar,Sydney,18.6,27.1,0.0,7.4,11.4,39.0,24.0,52.0,1017.4,1.0,26.3,No,No
13-Mar,Sydney,20.3,26.8,0.0,7.8,6.1,31.0,20.0,57.0,1020.5,4.0,26.2,No,No
13-Mar,Sydney,21.2,27.2,0.6,6.8,6.6,39.0,24.0,53.0,1019.0,3.0,26.0,No,No
13-Mar,Sydney,19.6,28.0,0.0,7.4,9.8,35.0,20.0,49.0,1017.5,5.0,25.5,No,No
13-Mar,Sydney,20.7,27.4,0.0,7.8,9.3,35.0,26.0,64.0,1019.6,5.0,25.4,No,No
13-Mar,Sydney,20.4,26.4,0.0,6.4,7.9,30.0,19.0,58.0,1018.4,2.0,25.7,No,No
13-Mar,Sydney,18.3,28.3,0.0,5.4,11.1,46.0,26.0,52.0,1010.9,1.0,26.3,No,No
13-Mar,Sydney,20.8,24.3,0.0,7.8,1.3,43.0,11.0,68.0,1011.2,7.0,24.0,No,No
13-Mar,Sydney,19.7,25.0,1.0,2.6,2.0,43.0,26.0,70.0,1015.7,7.0,22.5,No,No
13-Mar,Sydney,20.1,28.7,0.2,4.2,10.7,31.0,20.0,65.0,1008.9,3.0,25.8,No,No
13-Mar,Sydney,18.7,24.0,0.0,6.8,10.8,65.0,31.0,35.0,1015.0,1.0,23.2,No,No
13-Mar,Sydney,13.9,23.8,0.0,8.6,10.2,41.0,24.0,44.0,1020.2,2.0,22.3,No,No
13-Mar,Sydney,14.3,24.7,0.0,6.4,10.7,28.0,19.0,48.0,1022.8,3.0,23.0,No,No
13-Mar,Sydney,16.1,24.8,0.0,5.4,9.9,37.0,20.0,53.0,1022.3,3.0,24.5,No,No
13-Mar,Sydney,18.5,26.3,0.0,6.6,8.0,54.0,26.0,50.0,1014.3,7.0,25.0,No,No
